"Time Pattern Regime ID","Teleswitch Register Rule ID"
"01000","1"
"01001","1"
"01002","1"
"01003","1"
"01004","1"
"01005","1"
"01006","1"
"01006","2"
"01006","3"
"01007","1"
"01008","1"
"01009","1"
"01010","1"
"01011","1"
"01012","1"
"01013","1"
"01014","1"
"01015","1"
"01016","1"
"01017","1"
"01018","1"
"01019","1"
"01020","1"
"01021","1"
"01022","1"
"01023","1"
"01024","1"
"01025","1"
"01025","2"
"01025","3"
"01027","1"
"01028","1"
"01029","1"
"01030","1"
"01030","2"
"01030","3"
"01032","1"
"01032","2"
"01032","3"
"01034","1"
"01035","1"
"01036","1"
"01037","1"
"01038","1"
"01039","1"
"01040","1"
"01041","1"
"01042","1"
"01043","1"
"01044","1"
"01045","1"
"01046","1"
"01047","1"
"01048","1"
"01049","1"
"01050","1"
"01051","1"
"01052","1"
"01053","1"
"01054","1"
"01055","1"
"01056","1"
"01057","1"
"01058","1"
"01059","1"
"01060","1"
"01061","1"
"01062","1"
"01063","1"
"01064","1"
"01065","1"
"01066","1"
"01067","1"
"01068","1"
"01069","1"
"01070","1"
"01071","1"
"01072","1"
"01073","1"
"01074","1"
"01074","2"
"01075","1"
"01076","1"
"01077","1"
"01078","1"
"01079","1"
"01080","1"
"01081","1"
"01082","1"
"01082","2"
"01083","1"
"01084","1"
"01085","1"
"01086","1"
"01087","1"
"01088","1"
"01089","1"
"01090","1"
"01091","1"
"01092","1"
"01093","1"
"01094","1"
"01095","1"
"01096","1"
"01097","1"
"01097","2"
"01098","1"
"01099","1"
"01100","1"
"01100","2"
"01101","1"
"01102","1"
"01103","1"
"01103","2"
"01104","1"
"01104","2"
"01105","1"
"01106","1"
"01107","1"
"01108","1"
"01109","1"
"01110","1"
"01111","1"
"01112","1"
"01113","1"
"01114","1"
"01115","1"
"01116","1"
"01118","1"
"01119","1"
"01120","1"
"01121","1"
"01121","2"
"01122","1"
"01123","1"
"01123","2"
"01124","1"
"01125","1"
"01126","1"
"01127","1"
"01128","1"
"01129","1"
"01130","1"
"01131","1"
"01132","1"
"01132","2"
"01133","1"
"01134","1"
"01134","2"
"01135","1"
"01136","1"
"01136","2"
"01137","1"
"01138","1"
"01138","2"
"01139","1"
"01140","1"
"01141","1"
"01142","1"
"01143","1"
"01144","1"
"01145","1"
"01146","1"
"01147","1"
"01148","1"
"01149","1"
"01150","1"
"01151","1"
"01152","1"
"01153","1"
"01154","1"
"01155","1"
"01156","1"
"01157","1"
"01161","1"
"01162","1"
"01163","1"
"01167","1"
"01168","1"
"01169","1"
"01170","1"
"01171","1"
"01172","1"
"01173","1"
"01174","1"
"01175","1"
"01176","1"
"01177","1"
"01178","1"
"01179","1"
"01180","1"
"01181","1"
"01182","1"
"01183","1"
"01184","1"
"01185","1"
"01186","1"
"01189","1"
"01190","1"
"01191","1"
"01192","1"
"01193","1"
"01194","1"
"01200","1"
"01201","1"
"01202","1"
"01203","1"
"01204","1"
"01205","1"
"01206","1"
"01207","1"
"01208","1"
"01209","1"
"01210","1"
"01211","1"
"01212","1"
"01213","1"
"01214","1"
"01215","1"
"01216","1"
"01217","1"
"01218","1"
"01219","1"
"01220","1"
"01221","1"
"01222","1"
"01223","1"
"01224","1"
"01225","1"
"01226","1"
"01227","1"
"01228","1"
"01229","1"
"01233","1"
"01234","1"
"01235","1"
"01236","1"
"01237","1"
"01238","1"
"01239","1"
"01240","1"
"01241","1"
"01242","1"
"01243","1"
"01244","1"
"01245","1"
"01246","1"
"01247","1"
"01248","1"
"01249","1"
"01250","1"
"01251","1"
"01252","1"
"01253","1"
"01254","1"
"01255","1"
"01256","1"
"01257","1"
"01260","1"
"01261","1"
"01262","1"
"01263","1"
"01265","1"
"01266","1"
"01267","1"
"01268","1"
"01269","1"
"01270","1"
"01271","1"
"01272","1"
"01273","1"
"01274","1"
"01275","1"
"01276","1"
"01277","1"
"01278","1"
"01279","1"
"01280","1"
"01284","1"
"01285","1"
"01286","1"
"01287","1"
"01288","1"
"01289","1"
"01290","1"
"01291","1"
"01292","1"
"01293","1"
"01294","1"
"01295","1"
"01296","1"
"01297","1"
"01298","1"
"01299","1"
"01300","1"
"01307","1"
"01308","1"
"01309","1"
"01310","1"
"01311","1"
"01312","1"
"01313","1"
"01315","1"
"01316","1"
"01317","1"
"01319","1"
"01320","1"
"01321","1"
"01323","1"
"01324","1"
"01325","1"
"01326","1"
"01327","1"
"01328","1"
"01329","1"
"01330","1"
"01331","1"
"01332","1"
"01333","1"
"01334","1"
"01335","1"
"01336","1"
"01337","1"
"01338","1"
"01339","1"
"01340","1"
"01341","1"
"01342","1"
"01343","1"
"01344","1"
"01345","1"
"01346","1"
"01347","1"
"01348","1"
"01349","1"
"01350","1"
"01351","1"
"01352","1"
"01353","1"
"01354","1"
"01355","1"
"01356","1"
"01357","1"
"01358","1"
"01359","1"
"01360","1"
"01361","1"
"01361","2"
"01361","3"
"01362","1"
"01362","2"
"01362","3"
"01363","1"
"01363","2"
"01363","3"
"01364","1"
"01365","1"
"01366","1"
"01367","1"
"01368","1"
"01371","1"
"01372","1"
"01375","1"
"01376","1"
"01377","1"
"01378","1"
"01379","1"
"01380","1"
"01381","1"
"01382","1"
"01383","1"
"01384","1"
"01385","1"
"01386","1"
"01392","1"
"01393","1"
"01394","1"
"01395","1"
"01396","1"
"01397","1"
"01398","1"
"01399","1"
"01400","1"
"01401","1"
"01402","1"
"01403","1"
"01404","1"
"01405","1"
"01406","1"
"01407","1"
"01408","1"
"01409","1"
"01410","1"
"01411","1"
"01412","1"
"01413","1"
"01414","1"
"01415","1"
"01416","1"
"01417","1"
"01418","1"
"01419","1"
"01420","1"
"01421","1"
"01422","1"
"01423","1"
"01424","1"
"01425","1"
"01426","1"
"01427","1"
"01428","1"
"01429","1"
"13001","1"
"13002","1"
"13003","1"
"13004","1"
"13005","1"
"13006","1"
"13007","1"
"13008","1"
"13009","1"
"13010","1"
"13011","1"
"13012","1"
"13013","1"
"13014","1"
"13015","1"
"13016","1"
"13017","1"
"13018","1"
"13019","1"
"13020","1"
"13021","1"
"13022","1"
"13023","1"
"13024","1"
"13025","1"
"13026","1"
"13027","1"
"13028","1"
"13032","1"
"13033","1"
"13034","1"
"13035","1"
"13036","1"
"13037","1"
"13038","1"
"13039","1"
"13040","1"
"13041","1"
"13042","1"
"13043","1"
"13044","1"
"13045","1"
"13046","1"
"13047","1"
"13048","1"
"13049","1"
"13050","1"
"13051","1"
"13052","1"
"13053","1"
"13054","1"
"13055","1"
"13056","1"
"13057","1"
"13058","1"
"13059","1"
"13060","1"
"13061","1"
"13062","1"
"13063","1"
"13064","1"
"13065","1"
"13066","1"
"13067","1"
"13068","1"
"13069","1"
"13070","1"
"13071","1"
"13072","1"
"13073","1"
"13074","1"
"13075","1"
"13076","1"
"13077","1"
"13078","1"
"13079","1"
"13080","1"
"13081","1"
"13082","1"
"13083","1"
"13084","1"
"13085","1"
"13086","1"
"13087","1"
"13088","1"
"13089","1"
"13090","1"
"13091","1"
"13092","1"
"13093","1"
"14001","1"
"14002","1"
"14003","1"
"14004","1"
"14005","1"
"14006","1"
"14007","1"
"14008","1"
"14009","1"
"14010","1"
"14011","1"
"14012","1"
"14013","1"
"14014","1"
"14015","1"
"14016","1"
"14017","1"
"14018","1"
"14019","1"
"14020","1"
"14021","1"
"14022","1"
"14023","1"
"14024","1"
"14025","1"
"14026","1"
"14027","1"
"14028","1"
"14029","1"
"14030","1"
"14031","1"
"14032","1"
"14033","1"
"14034","1"
"14035","1"
"14036","1"
"14037","1"
"14038","1"
"14039","1"
"14040","1"
"14041","1"
"14042","1"
"14043","1"
"14044","1"
"14045","1"
"14046","1"
"14047","1"
"14048","1"
"14049","1"
"14050","1"
"14051","1"
"14052","1"
"14053","1"
"14054","1"
"14055","1"
"14056","1"
"14057","1"
"14058","1"
"14059","1"
"14060","1"
"14061","1"
"14062","1"
"14063","1"
"14064","1"
"14065","1"
"14066","1"
"14067","1"
"14068","1"
"14069","1"
"14070","1"
"14071","1"
"14072","1"
"14073","1"
"14074","1"
"14075","1"
"14076","1"
"14077","1"
"14078","1"
"14079","1"
"14080","1"
"14081","1"
"14082","1"
"14083","1"
"14084","1"
"14085","1"
"14086","1"
"14087","1"
"14088","1"
"14089","1"
"14090","1"
"14091","1"
"14092","1"
"14093","1"
"14094","1"
"14095","1"
"14096","1"
"14097","1"
"14098","1"
"14099","1"
"14100","1"
"14101","1"
"14102","1"
"14103","1"
"14104","1"
"14105","1"
"14106","1"
"14107","1"
"14108","1"
"14110","1"
"14111","1"
"14112","1"
"14113","1"
"14114","1"
"14115","1"
"14116","1"
"14117","1"
"14118","1"
"14119","1"
"14120","1"
"14121","1"
"14122","1"
"14123","1"
"14124","1"
"14125","1"
"14126","1"
"14127","1"
"14128","1"
"14129","1"
"14130","1"
"14131","1"
"14132","1"
"14133","1"
"14134","1"
"14135","1"
"14136","1"
"14137","1"
"14138","1"
"14139","1"
"14140","1"
"14141","1"
"14142","1"
"14143","1"
"14144","1"
"14145","1"
"14146","1"
"14147","1"
"14148","1"
"14149","1"
"14150","1"
"14151","1"
